tf_target	interaction
RFX5_FSTL1	0.8878752669477332
ZNF24_MED9	0.8878759790270032
FOXN3_TPM3	0.8878765639312897
EGR1_MAGEF1	0.8878765979091914
ATF7_SRGN	0.8878766381203884
EGR1_INO80B	0.8878767300373538
PBX1_NASP	0.8878775781551049
HSF2_MASP1	0.8878781017814333
NKX2-5_NOC2L	0.8878792779135506
ATF2_CLIC4	0.8878796393902424
FOXK2_PA2G4	0.8878801710113853
NKX2-5_CLIP1	0.887880282832284
NFE2L1_CRLS1	0.8878814398926478
SMAD1_SCAF1	0.8878814890868114
SRF_C10orf71	0.8878822276863378
STAT5B_MXRA7	0.887882229214485
PBX1_MRPS26	0.8878843769490637
KLF2_PITHD1	0.887884380217484
GATA6_SELENOS	0.8878844053398195
PPARA_HSPB6	0.8878845299895605
NKX2-5_RGCC	0.8878846367980324
RFX5_UBAC1	0.8878855938209305
THRA_OXA1L	0.887886605430875
TEAD2_SRF	0.887886928576706
MAX_CMC2	0.8878870065061473
ETS2_PSMB1	0.8878872359213021
SP3_SPCS1	0.8878875201508443
KLF3_SMAD7	0.8878877600572149
TEF_YWHAH	0.887889207065855
FLI1_RPS2	0.8878892425835629
RARA_RPL23A	0.8878894008698852
ZFX_CSRP3	0.8878895921432449
KLF3_RASL12	0.8878897230560159
STAT3_ST6GALNAC4	0.887889921049706
CUX1_ARHGEF2	0.8878899257230968
HEY1_B4GALT1	0.8878902849758836
FOS_BLCAP	0.8878904540513106
NFE2L1_CYTH3	0.8878908671576284
FOXN3_LMCD1	0.8878908730941734
TEAD2_ACTR3	0.8878911482887231
FOS_BAG1	0.8878916664052993
EGR1_RPL4	0.8878919605263911
THRB_CLU	0.8878921539758556
SP100_MB	0.8878924176271612
MAX_PLS3	0.887892629676964
ATF1_DES	0.887892647941772
PBX3_ULK1	0.8878930021609683
ATF3_SLC2A4	0.8878930470342727
ESRRA_DCUN1D2	0.8878931437829435
SP3_PPP1R7	0.8878933675995488
ZFX_COX5B	0.8878943667177123
AHR_DCTN3	0.8878946983735907
USF2_PRPF6	0.8878947567366353
